Miasta i wsie,powiat,Kahal,Żydzi,Żydówki,page,powiat
"Ropa, w 3 k.",lelow,,22,,15,
"Nawoiowa, w b. i 2 k.",lelow,,14,,15,
"Chomranice, w b.",lelow,,6,,15,
"Barcice (Barczyce), w k.",lelow,,9,,15,
"Kokoszka, w b.",lelow,,3,,15,
"Sienna, w b.",lelow,,5,,15,
"Bugay, w k.",lelow,,5,,15,
"Wielopole, w b.",lelow,,6,,15,
Rytro,lelow,,7,,15,
"Marcinkowice, w b.",lelow,,6,,15,
"Krościenko, w b. i k.",lelow,,8,,15,
"Lipica, w k.",lelow,,4,,15,
"Niecew, w b. i k.",lelow,,10,,15,
Jasienna,lelow,,6,,15,
Jasienna w b.,lelow,,7,,15,
"Lipnica, w k.",lelow,,6,,15,
"Brzana, w b.",lelow,,8,,15,
"Brzana, w b.",lelow,,5,,15,
"Janczowa, w b.",lelow,,6,,15,
Łabowa (miasteczko),lelow,,6,,15,
Łabowa kom.,lelow,,3,,15,
"Maciejowa, w k.",lelow,,4,,15,
"Ochotnica, w b.",lelow,,12,,15,
"Zdonia, w b.",lelow,,9,,15,
"Biesnik, w b.",lelow,,7,,15,
"Pałecznica, w b.",lelow,,5,,15,
"Olszowa, w b.",lelow,,5,,15,
"Nowa wieś, w k.",lelow,,4,,15,
Rostoka,lelow,,3,,15,
"Kąsna, kom.",lelow,,5,,15,
"Kąsna,  w k.",lelow,,12,,15,
"Stara wieś, w b.",lelow,,3,,15,
"Wrono wice, w b.",lelow,,5,,15,
"Wysokie, w b.",lelow,,4,,15,
"Witowice, w 2 b.",lelow,,9,,15,
"Krozlowa (Kruźlowa), w b.",lelow,,4,,15,
"Rocmirowa (Rozmierowa), w b.",lelow,,4,,15,
Michalczowa,lelow,,4,,15,
Michalczowa w b.,lelow,,3,,15,
Michalczowa kom.,lelow,,3,,15,
"Trzecierz, w b.",lelow,,4,,15,
"Brzeziny, w b.",lelow,,4,,15,
"Zawada, w b.",lelow,,7,,15,
"Poręba, w k.",lelow,,3,,15,
Ostrusie (Ostruża),lelow,,5,,16,
"Pisarzowa, w b.",lelow,,7,,16,
"Staszkowka, w b.",lelow,,7,,16,
Ptaszkowa,lelow,,15,,16,
"Siedliska, w k.",lelow,,6,,16,
Osików,lelow,,4,,16,
Mystkow,lelow,,4,,16,
Białowoda,lelow,,5,,16,
"Biesna, w k.",lelow,,4,,16,
"Korzenna, w b.",lelow,,8,,16,
"Zawadka, w b.",lelow,,4,,16,
Cieniawa,lelow,,3,,16,
"Będzieszyna, w b.",lelow,,3,,16,
"Moczarka, w b.",lelow,,,,16,
Zawrót,lelow,,5,,16,
"Barcice, kom.",lelow,,8,,16,
Załubincze,lelow,,5,,16,
Koniuszowa,lelow,,5,,16,
"Szalowa, w b. i k.",lelow,,8,,16,
Łyczana,lelow,,7,,16,
"Jeżowa, w b. І k.",lelow,,9,,16,
"Krasne, szynkarz",lelow,,4,,16,
"Łosie, k.",lelow,,7,,16,
In summa głów w kah. sand.,lelow,,1368,,16,
,Czchów  and Szczyrzyc,,,,16,Powiat czchowski i szczyrzycki.
Wiśnicz gospodarzy 78: głów,Czchów  and Szczyrzyc,wiśnickim,979,,16,Kahal wisnicki.
Brzesko gospodarzy 12,Czchów  and Szczyrzyc,wiśnickim,175,,16,Parafia kahalu wisnickiego.
i w browarze,Czchów  and Szczyrzyc,wiśnickim,6,,16,
Suma:,Czchów  and Szczyrzyc,wiśnickim,181,,16,
Czchów,Czchów  and Szczyrzyc,wiśnickim,7,,16,
Limanowa,Czchów  and Szczyrzyc,wiśnickim,21,,16,
Niepołomice,Czchów  and Szczyrzyc,wiśnickim,29,,16,
Kai wary a,Czchów  and Szczyrzyc,wiśnickim,19,,16,
Nowy Targ,Czchów  and Szczyrzyc,wiśnickim,9,,16,
Lipnica,Czchów  and Szczyrzyc,wiśnickim,17,,16,
Szczypanow,Czchów  and Szczyrzyc,wiśnickim,8,,16,
Mokrzecka (Mokszyska),Czchów  and Szczyrzyc,wiśnickim,16,,16,
Buczę,Czchów  and Szczyrzyc,wiśnickim,9,,16,
Poręba,Czchów  and Szczyrzyc,wiśnickim,25,,16,
Ląkta górna,Czchów  and Szczyrzyc,wiśnickim,8,,16,
Bytomska,Czchów  and Szczyrzyc,wiśnickim,8,,16,
Rzegocina,Czchów  and Szczyrzyc,wiśnickim,6,,16,
Łąkta dolna,Czchów  and Szczyrzyc,wiśnickim,6,,16,
Dołuszyce,Czchów  and Szczyrzyc,wiśnickim,9,,16,
Buczyna,Czchów  and Szczyrzyc,wiśnickim,7,,16,
Grabie,Czchów  and Szczyrzyc,wiśnickim,7,,16,
Gierczyce,Czchów  and Szczyrzyc,wiśnickim,4,,16,
Borowna,Czchów  and Szczyrzyc,wiśnickim,4,,16,
Zagórzany,Czchów  and Szczyrzyc,wiśnickim,5,,16,
Kobyle,Czchów  and Szczyrzyc,wiśnickim,4,,16,
Minkuszowice (Mikłuszowice),Czchów  and Szczyrzyc,wiśnickim,34,,16,
Dziewin,Czchów  and Szczyrzyc,wiśnickim,4,,16,
Drwięnia (Drwinia),Czchów  and Szczyrzyc,wiśnickim,3,,16,
Brzezie,Czchów  and Szczyrzyc,wiśnickim,12,,16,
Czarny Dunajec,Czchów  and Szczyrzyc,wiśnickim,9,,16,
Kokotow,Czchów  and Szczyrzyc,wiśnickim,6,,16,
Koszary,Czchów  and Szczyrzyc,wiśnickim,5,,16,
Wyzyce,Czchów  and Szczyrzyc,wiśnickim,11,,16,
Wola górna,Czchów  and Szczyrzyc,wiśnickim,6,,16,
Grotkowice,Czchów  and Szczyrzyc,wiśnickim,12,,17,
Łososina,Czchów  and Szczyrzyc,wiśnickim,9,,17,
Młynna,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Okocim,Czchów  and Szczyrzyc,wiśnickim,13,,17,
Sokołow,Czchów  and Szczyrzyc,wiśnickim,11,,17,
Sieracka (Sieradzka),Czchów  and Szczyrzyc,wiśnickim,4,,17,
Krolowka,Czchów  and Szczyrzyc,wiśnickim,23,,17,
Raybrot,Czchów  and Szczyrzyc,wiśnickim,3,,17,
Dębno,Czchów  and Szczyrzyc,wiśnickim,12,,17,
Zbigniow (Zbydniów),Czchów  and Szczyrzyc,wiśnickim,8,,17,
Damienica (Damianice),Czchów  and Szczyrzyc,wiśnickim,4,,17,
Sawa,Czchów  and Szczyrzyc,wiśnickim,12,,17,
Rozdzielę,Czchów  and Szczyrzyc,wiśnickim,13,,17,
Leszczyna,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Kierlikowka,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Pierzchowce (Pierzchowice),Czchów  and Szczyrzyc,wiśnickim,8,,17,
Jasień,Czchów  and Szczyrzyc,wiśnickim,7,,17,
Jodłowka,Czchów  and Szczyrzyc,wiśnickim,3,,17,
Chranow (Chronow),Czchów  and Szczyrzyc,wiśnickim,19,,17,
Łapczyca (Łapczyce),Czchów  and Szczyrzyc,wiśnickim,2,,17,
Xiąznice,Czchów  and Szczyrzyc,wiśnickim,2,,17,
Krakoszowice,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Niegowiec (Nicgowice),Czchów  and Szczyrzyc,wiśnickim,2I,,17,
Zrzęcica (Zręczyce),Czchów  and Szczyrzyc,wiśnickim,3,,17,
Gosprzydowa,Czchów  and Szczyrzyc,wiśnickim,14,,17,
Podkamien,Czchów  and Szczyrzyc,wiśnickim,10,,17,
Targowisko,Czchów  and Szczyrzyc,wiśnickim,3,,17,
Łęczkowice,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Stanislawice (Stanislawce),Czchów  and Szczyrzyc,wiśnickim,3,,17,
Cichowice,Czchów  and Szczyrzyc,wiśnickim,2,,17,
Łapanów,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Zyrosławice,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Kępanow,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Kobylec,Czchów  and Szczyrzyc,wiśnickim,10,,17,
Kobylec,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Mszana,Czchów  and Szczyrzyc,wiśnickim,17,,17,
Kasinka,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Niedary,Czchów  and Szczyrzyc,wiśnickim,7,,17,
Zalesie,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Woiakowa,Czchów  and Szczyrzyc,wiśnickim,13,,17,
Bałaszowka,Czchów  and Szczyrzyc,wiśnickim,2,,17,
Rybie,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Hans to w,Czchów  and Szczyrzyc,wiśnickim,7,,17,
Węglowka,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Kobylnik,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Iwkowa (Jurków),Czchów  and Szczyrzyc,wiśnickim,11,,17,
Jurków,Czchów  and Szczyrzyc,wiśnickim,10,,17,
Kąty,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Burdak,Czchów  and Szczyrzyc,wiśnickim,7,,17,
Cichawa,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Struze (Stróże),Czchów  and Szczyrzyc,wiśnickim,5,,17,
Gruszow,Czchów  and Szczyrzyc,wiśnickim,21,,17,
Tymowa,Czchów  and Szczyrzyc,wiśnickim,10,,17,
Bukownik,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Komorniki,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Głuchów,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Kwapniki,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Tymbark,Czchów  and Szczyrzyc,wiśnickim,23,,17,
Lewniowa,Czchów  and Szczyrzyc,wiśnickim,2,,17,
Zawada,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Japczyce,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Przybórów,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Wola,Czchów  and Szczyrzyc,wiśnickim,10,,17,
Stojowice,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Gorzkow,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Makicnice,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Jadowniki,Czchów  and Szczyrzyc,wiśnickim,9,,17,
Sterkowiec,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Grądy,Czchów  and Szczyrzyc,wiśnickim,7,,17,
Sowliny,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Mordarka,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Kłay,Czchów  and Szczyrzyc,wiśnickim,b,,17,
Domosławice,Czchów  and Szczyrzyc,wiśnickim,17,,17,
Haszczowice,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Łukawka,Czchów  and Szczyrzyc,wiśnickim,4,,17,
Harzowice (Charzewice),Czchów  and Szczyrzyc,wiśnickim,4,,17,
Gwozciec (Gwoździec),Czchów  and Szczyrzyc,wiśnickim,5,,17,
Sułów,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Łopuszna,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Raba wyzsza,Czchów  and Szczyrzyc,wiśnickim,8,,17,
Harklowa,Czchów  and Szczyrzyc,wiśnickim,6,,17,
Dobrociesz,Czchów  and Szczyrzyc,wiśnickim,5,,17,
Dobra,Czchów  and Szczyrzyc,wiśnickim,24,,17,
Stopnice,Czchów  and Szczyrzyc,wiśnickim,25,,17,
Mierzeń (Mierzyn),Czchów  and Szczyrzyc,wiśnickim,4,,18,
Gnoynik,Czchów  and Szczyrzyc,wiśnickim,23,,18,
Bratuszyce (Bratuczyce),Czchów  and Szczyrzyc,wiśnickim,4,,18,
Horzejowice,Czchów  and Szczyrzyc,wiśnickim,3,,18,
Uiazd,Czchów  and Szczyrzyc,wiśnickim,4,,18,
Dobroczyce,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Pogwizdów,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Miętniow,Czchów  and Szczyrzyc,wiśnickim,2,,18,
Rzezawa,Czchów  and Szczyrzyc,wiśnickim,10,,18,
Wiatowice większe,Czchów  and Szczyrzyc,wiśnickim,6,,18,
Niezawa,Czchów  and Szczyrzyc,wiśnickim,3,,18,
Zbarczyce (Zborczyca),Czchów  and Szczyrzyc,wiśnickim,3,,18,
Strzelce wielkie,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Okulice,Czchów  and Szczyrzyc,wiśnickim,7,,18,
Podwilk (Podwal),Czchów  and Szczyrzyc,wiśnickim,5,,18,
Sułków,Czchów  and Szczyrzyc,wiśnickim,3,,18,
Łąki zabawskie,Czchów  and Szczyrzyc,wiśnickim,10,,18,
Tomasz ko wice,Czchów  and Szczyrzyc,wiśnickim,4,,18,
Rawki,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Nieprzesna,Czchów  and Szczyrzyc,wiśnickim,4,,18,
Cichawka,Czchów  and Szczyrzyc,wiśnickim,14,,18,
Biskupice,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Porąbka,Czchów  and Szczyrzyc,wiśnickim,4,,18,
Strzemeszna (Trzemeśna),Czchów  and Szczyrzyc,wiśnickim,7,,18,
Łyczanka,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Osieczany,Czchów  and Szczyrzyc,wiśnickim,6,,18,
Sucha Raba,Czchów  and Szczyrzyc,wiśnickim,7,,18,
Mieszkowice (Niszkowice),Czchów  and Szczyrzyc,wiśnickim,4,,18,
Nieszkowice,Czchów  and Szczyrzyc,wiśnickim,4,,18,
Sławkowice,Czchów  and Szczyrzyc,wiśnickim,3,,18,
Moczarka,Czchów  and Szczyrzyc,wiśnickim,2,,18,
Zatoki (Zatoka),Czchów  and Szczyrzyc,wiśnickim,7,,18,
Rzępia,Czchów  and Szczyrzyc,wiśnickim,3,,18,
Trzciana,Czchów  and Szczyrzyc,wiśnickim,1,,18,
Chochołow,Czchów  and Szczyrzyc,wiśnickim,5,,18,
Klikuszowice,Czchów  and Szczyrzyc,wiśnickim,9,,18,
Zona wygnanego z miasta Szap-,Czchów  and Szczyrzyc,wiśnickim,,,18,
siowa z dwojgiem dzieci,Czchów  and Szczyrzyc,wiśnickim,3,,18,
Przybytni z parafii krakowskiej,Czchów  and Szczyrzyc,wiśnickim,8,,18,
Delata Zydow z tej parafii nie,Czchów  and Szczyrzyc,wiśnickim,,,18,
stawionych się do popisu z in-,Czchów  and Szczyrzyc,wiśnickim,,,18,
"nymi, których głowy dla nie-",Czchów  and Szczyrzyc,wiśnickim,,,18,
wiaclomości liczby nie są inse-,Czchów  and Szczyrzyc,wiśnickim,,,18,
rowane w komput wyżej wy-,Czchów  and Szczyrzyc,wiśnickim,,,18,
"rażonych: Żywiec, pisarz;",Czchów  and Szczyrzyc,wiśnickim,,,18,
"Sułów, arendarz; Przydkowi-",Czchów  and Szczyrzyc,wiśnickim,,,18,
"ce, arendarz, który miał się pi-",Czchów  and Szczyrzyc,wiśnickim,,,18,
sać w Oświęcimie; Ostrzowsk,Czchów  and Szczyrzyc,wiśnickim,,,18,
(Ostrzowsko) karczmarz; Be-,Czchów  and Szczyrzyc,wiśnickim,,,18,
"nedzym, arendarz; Nawsie,",Czchów  and Szczyrzyc,wiśnickim,,,18,
"arendarz; Raciborsk, aren-",Czchów  and Szczyrzyc,wiśnickim,,,18,
"darz, który miał się pisać",Czchów  and Szczyrzyc,wiśnickim,,,18,
"w Krakowie; Cerekiew, aren-",Czchów  and Szczyrzyc,wiśnickim,,,18,
darz,Czchów  and Szczyrzyc,wiśnickim,,,18,
In summa w kah. wiśnickim,Czchów  and Szczyrzyc,wiśnickim,2385,,18,
,,,,,18,
"Żmigród gospodarzy 67,",Biecz,Żmigród,683,,18,Kahał żmigrodzki.
"Gorlice gospodarzy 33,",Biecz,Żmigród,164,,18,Parafią kahalu żmigrodzkiego.
Biecz,Biecz,Żmigród,31,,18,
Dębowiec,Biecz,Żmigród,23,,18,
Wapienna,Biecz,Żmigród,4,,18,
Pąspna,Biecz,Żmigród,6,,18,
Ropica,Biecz,Żmigród,13,,18,
Malistyf (Małastów),Biecz,Żmigród,9,,18,
Sękowa,Biecz,Żmigród,11,,18,
Szary,Biecz,Żmigród,11,,18,
Wołowiec,Biecz,Żmigród,6,,18,
Długie,Biecz,Żmigród,6,,18,
Żarnowce,Biecz,Żmigród,6,,18,
Chlebna,Biecz,Żmigród,10,,18,
Jedlicze,Biecz,Żmigród,42,,19,
Łąki,Biecz,Żmigród,4,,19,
Toki,Biecz,Żmigród,6,,19,
Gorzyce,Biecz,Żmigród,4,,19,
Jaworze,Biecz,Żmigród,3,,19,
Lubienko,Biecz,Żmigród,8,,19,
Faysłówka,Biecz,Żmigród,7,,19,
Wolica,Biecz,Żmigród,6,,19,
Lipnica,Biecz,Żmigród,7,,19,
Łapiguz,Biecz,Żmigród,2,,19,
Łysogóra,Biecz,Żmigród,4,,19,
Zeglce (Żeglec),Biecz,Żmigród,6,,19,
Podniebyle,Biecz,Żmigród,8,,19,
Cieklin,Biecz,Żmigród,10,,19,
Dzielec,Biecz,Żmigród,4,,19,
Dobrynia,Biecz,Żmigród,3,,19,
Folusz,Biecz,Żmigród,4,,19,
Strusieklęski,Biecz,Żmigród,10,,19,
Brzezowa,Biecz,Żmigród,5,,19,
Czyrmna (Czyrna),Biecz,Żmigród,11,,19,
Jabłonica,Biecz,Żmigród,5,,19,
Bączala (Bon czai),Biecz,Żmigród,5,,19,
Serwoniec,Biecz,Żmigród,6,,19,
Dąbrówka,Biecz,Żmigród,4,,19,
Sowina,Biecz,Żmigród,7,,19,
Biezdziadza,Biecz,Żmigród,9,,19,
Biezdziadka,Biecz,Żmigród,4,,19,
"Wygoda, k.",Biecz,Żmigród,3,,19,
Lublica,Biecz,Żmigród,4,,19,
Siekło wka,Biecz,Żmigród,22,,19,
Warzyce,Biecz,Żmigród,15,,19,
Czelusnica,Biecz,Żmigród,8,,19,
Gossowka,Biecz,Żmigród,5,,19,
Sobniow,Biecz,Żmigród,7,,19,
J asło,Biecz,Żmigród,8,,19,
Ułaszowice,Biecz,Żmigród,2,,19,
Niegłowice,Biecz,Żmigród,5,,19,
Brzeście (Brzyście),Biecz,Żmigród,4,,19,
Brzyscie,Biecz,Żmigród,5,,19,
Zułkow (Żołków),Biecz,Żmigród,7,,19,
Swięcany,Biecz,Żmigród,24,,19,
Szyrzyny (Szerzyny),Biecz,Żmigród,38,,19,
Rozembark,Biecz,Żmigród,16,,19,
Rasłowiec (Racławice),Biecz,Żmigród,5,,19,
Sietnica,Biecz,Żmigród,7,,19,
Moszczenica,Biecz,Żmigród,11,,19,
Machnowka,Biecz,Żmigród,6,,19,
Zagórzany,Biecz,Żmigród,9,,19,
Libusza,Biecz,Żmigród,11,,19,
Polna,Biecz,Żmigród,6,,19,
Grudna,Biecz,Żmigród,2,,19,
Siepietnica,Biecz,Żmigród,3,,19,
Harklowa,Biecz,Żmigród,6,,19,
Skołyszyn,Biecz,Żmigród,11,,19,
Kunowa,Biecz,Żmigród,5,,19,
Lisowek,Biecz,Żmigród,7,,19,
Sławęcin,Biecz,Żmigród,5,,19,
Przysieki,Biecz,Żmigród,2,,19,
Siedliska,Biecz,Żmigród,5,,19,
Trzcinica,Biecz,Żmigród,7,,19,
Osobnica,Biecz,Żmigród,5,,19,
Łazy,Biecz,Żmigród,4,,19,
Wola dębowiecka,Biecz,Żmigród,2,,19,
Załęże,Biecz,Żmigród,6,,19,
Swierchowa (Świerkowa),Biecz,Żmigród,4,,19,
Osiek,Biecz,Żmigród,8,,19,
Bieniarową,Biecz,Żmigród,7,,19,
Grab,Biecz,Żmigród,7,,19,
Kotan,Biecz,Żmigród,6,,19,
Myszczowa (Myscowa),Biecz,Żmigród,7,,19,
Świątkowa,Biecz,Żmigród,9,,19,
Swirzow (Swierzowa),Biecz,Żmigród,2,,19,
Bartne,Biecz,Żmigród,5,,19,
Dołchym (Dołembki?),Biecz,Żmigród,6,,19,
Rostayna (Rostajne),Biecz,Żmigród,7,,19,
Polany,Biecz,Żmigród,10,,19,
Desnica (Desznica),Biecz,Żmigród,2,,19,
Konty (Kąty),Biecz,Żmigród,3,,19,
Krywa (Krzywa),Biecz,Żmigród,3,,19,
Banica,Biecz,Żmigród,3,,19,
Krępna,Biecz,Żmigród,3,,19,
Pregonina (Przegonina),Biecz,Żmigród,3,,19,
Swiątkowka,Biecz,Żmigród,9,,19,
Grabanina,Biecz,Żmigród,9,,19,
Ninaszow (Nienaszów),Biecz,Żmigród,23,,20,
Makowiska,Biecz,Żmigród,7,,20,
Sulistrowa,Biecz,Żmigród,6,,20,
Draganów a,Biecz,Żmigród,5,,20,
Kobylany,Biecz,Żmigród,10,,20,
Łęki,Biecz,Żmigród,7,,20,
Łaysce,Biecz,Żmigród,4,,20,
Glinik,Biecz,Żmigród,5,,20,
Gliniczek,Biecz,Żmigród,3,,20,
Umieszczę (Umieszcz),Biecz,Żmigród,6,,20,
Tarnowiec,Biecz,Żmigród,8,,20,
Potakowka,Biecz,Żmigród,5,,20,
Brzezowka,Biecz,Żmigród,9,,20,
Cerocanka,Biecz,Żmigród,6,,20,
Borek,Biecz,Żmigród,7,,20,
Szebnie (Szczebnie),Biecz,Żmigród,4,,20,
Moderowka,Biecz,Żmigród,3,,20,
Birowka (Bierówka),Biecz,Żmigród,13,,20,
Niepła,Biecz,Żmigród,6,,20,
Rostoki,Biecz,Żmigród,6,,20,
Sątkowa (Sondkowa),Biecz,Żmigród,6,,20,
Stary Żmigród,Biecz,Żmigród,2,,20,
Kopytowa,Biecz,Żmigród,4,,20,
Żydowskie,Biecz,Żmigród,3,,20,
Ozenna (Ożyna),Biecz,Żmigród,7,,20,
Regietow,Biecz,Żmigród,3,,20,
Nieznaiowa,Biecz,Żmigród,7,,20,
Czarne,Biecz,Żmigród,5,,20,
Radocina,Biecz,Żmigród,3,,20,
Konieczna,Biecz,Żmigród,11,,20,
Smerekowiec,Biecz,Żmigród,2,,20,
Wysowa,Biecz,Żmigród,4,,20,
Uyscie,Biecz,Żmigród,24,,20,
Bielanki,Biecz,Żmigród,9,,20,
Klimkówka,Biecz,Żmigród,6,,20,
No wiec (No wica),Biecz,Żmigród,3,,20,
Pietrowka,Biecz,Żmigród,2,,20,
Pielgrzymka,Biecz,Żmigród,2,,20,
Bednarka,Biecz,Żmigród,5,,20,
Rozdzielę,Biecz,Żmigród,4,,20,
Lipinki,Biecz,Żmigród,16,,20,
Kryg,Biecz,Żmigród,3,,20,
Sokoł,Biecz,Żmigród,3,,20,
Rychwałd,Biecz,Żmigród,4,,20,
Mszanka,Biecz,Żmigród,21,,20,
"Garbacz, karczma",Biecz,Żmigród,7,,20,
Wola,Biecz,Żmigród,2,,20,
Łużna,Biecz,Żmigród,16,,20,
Bystra,Biecz,Żmigród,3,,20,
Szembark,Biecz,Żmigród,8,,20,
In summa w kahale zmigr.,Biecz,Żmigród,1926,,20,
Dukla gospodarzy 56,Biecz,Kahał dukielski,568,,20,Kahal dukielski.
browar pański,Biecz,Dukla,6,,20,
Suma,Biecz,Dukla,574,,20,
"Równe, w b.",Biecz,Dukla,17,,20,Parafia kabata dukielskiego.
"Zboiska, w k.",Biecz,Dukla,4,,20,
"Wietrzna (Wietrzno), w b.",Biecz,Dukla,7,,20,
"Wróblik, w b.",Biecz,Dukla,6,,20,
"Milczą, w k.",Biecz,Dukla,7,,20,
"Besko, w b., 2 k. i eh.",Biecz,Dukla,27,,20,
"Odrzechow (Odrzechowa), w b.-i 2 k.",Biecz,Dukla,18,,20,
"Nowosielce, w b. i ch.",Biecz,Dukla,10,,20,
"Czertez, w k.",Biecz,Dukla,5,,20,
Kostarowka (Kostarowce) w b.,Biecz,Dukla,6,,20,
"Białobrzegi, w k.",Biecz,Dukla,4,,20,
"Głowienka (Głowienko),, w k.",Biecz,Dukla,5,,20,
"Głoysce, w k.",Biecz,Dukla,11,,20,
"Krościenko, w k.",Biecz,Dukla,6,,20,
"iwia, w b.",Biecz,Dukla,6,,20,
"Cherowa (Chyrowa), w k.",Biecz,Dukla,3,,20,
"Mszanka, w k.",Biecz,Dukla,6,,21,
"Lipowica, w к.",Biecz,Dukla,5,,21,
"Trzciana, w k.",Biecz,Dukla,3,,21,
"Tylawa, w b.",Biecz,Dukla,12,,21,
"Barwinek, w 2 b.",Biecz,Dukla,12,,21,
"lasie (Jasiel), w b.",Biecz,Dukla,3,,21,
"Wernesowka, w b.",Biecz,Dukla,4,,21,
"Zawadka, w k.",Biecz,Dukla,4,,21,
"Zendranow (Zyndranowa), w 2 b.",Biecz,Dukla,20,,21,
"Lubatowka, w k.",Biecz,Dukla,4,,21,
"Jasionka, w k.",Biecz,Dukla,5,,21,
"Cergowa, w b. i k.",Biecz,Dukla,7,,21,
"Teodorowka, w k.",Biecz,Dukla,5,,21,
In summa głów w kahale duk.,Biecz,Dukla,806,,21,
Bobowa gospodarzy 29 głów,Biecz,bobow,185,,21,Kahal bobowski.
w kramnicach,Biecz,bobow,11,,21,
w ratuszu,Biecz,bobow,8,,21,
w karczmie Wesołej,Biecz,bobow,5,,21,
w kahale sandeckim głów,Biecz,bobow,1368,,21,
w kahale wisnickim,Biecz,bobow,2385,,21,
w kahale żmigrodzkim,Biecz,bobow,1926,,21,
w kahale dukielskim,Biecz,bobow,806,,21,
w kahale bobowskim,Biecz,bobow,218,,21,
Summa,Biecz,bobow,6703,,21,
w browarze pod zamkierr,Biecz,bobow,2,,21,
w browarze berdeckim,Biecz,bobow,7,,21,
Summa:,Biecz,bobow,218,,21,
