jt_cname,df_cname,jt_viv,df_viv
bck,bczk,pdl,pdl
bgrj,bgr,snd,snd
bkczwc,bkszwc,rus,hlc
bl_rwsk,bl,raw,raw
blcz_zlt,blcz,pod,pod
blgrd,blgrdk,rus,wol
blszk,blszkw,swr,swr
bly_kmn,blykmn,rus,lww
bllwk,blylwk,kij,kij
brhlw,brlw,brc,kij
brslw,brsylw,kij,kij
brzsc_kjwsk,brzsc,kjw,kij
brzyck,brzysk,pzn,pzn
chljw,chlw,blz,blz
czlchw,czlch,pmr,pmr
drhbycz,drhbcz,rus,rus
dzwngrd,dωwngrd,pod,pod
grdsk_dln,grdzsk_dln,rus,rus
grdzsk_mzwck,grdzsk_mzwck,raw,raw
gwzdzc,gwωdzc,rus,hlc
hmn,hmn,brc,brc
hsskw,hskw,rus,rus
jblnk_kscln,jblnk,pdl,pdl
jryczw_nwy,jryczw,rus,lww
klczyny,klczyn,wol,wol
kldzny,klndzny,pod,pod
kmnk_strmlw,kmnk,rus,lww
kmnk_wlk,kmnk,rus,rus
knhyncz,knchyncz,rus,lww
lszk_mrwn,lszk,rus,prz
lsznw,lsnw,wol,wol
lszyc,lszczyc,blz,blz
mdzybz,mdzybrz,pod,pod
mlnk,mlnk,pdl,pdl
mrtynw_nwy,mrtynw,rus,hlc
mzcz,mscz,wol,wol
nwy_krczyn,nwy_krczyn,snd,snd
ppw_kscln,ppw_kscln,maz,maz
przytyk,przytk,snd,snd
ptk_zlty,ptk,rus,rus
rdzk_dz,rdzk,inw,inw
rsssz,rssz,pdl,pdl
rw_mzwck,rw,raw,raw
sc_zln,sc,rus,hlc
sdzszw,sdrzyszw,snd,snd
sldkwc,slbkwc,pod,pod
snw_str,str_snw,pod,pod
str_sl,strsl,rus,rus
strzlsk_nw,strzlsk,rus,lww
strzyk_dln,strzyk,rus,rus
szczbrzszyn,szczbrszyn,rus,rus
szyc_str,szyc,pod,pod
tmszw_lblsk,tmszw,blz,lbl
trk,trk,rus,rus
wlczysk,wlczysk,wol,wol
wlszcz,wlszcz,rus,rus
wsnwc_stry,wsnwc,wol,wol
wsncz_nwy,wsncz,krk,krk
wsznk_wlk,wszn,rus,rus
wtkw_nwy,wtkw,blz,blz
wysznk_kscln,wysznk,pdl,pdl
zbc_kjwsk,zbc,kjw,kjw
zbrz,zbrz,wol,wol
zdztycz,zdtycz,wol,wol
zlszczyk,zlszcz,pod,pod
zmgrd_nwy,zmgrd,krk,krk
jt_cname,df_cname,jt_viv,df_viv
bck,bczk,pdl,pdl
bgrj,bgr,snd,snd
bkczwc,bkszwc,rus,hlc
bl_rwsk,bl,raw,raw
blcz_zlt,blcz,pod,pod
blgrd,blgrdk,rus,wol
blslwc,blslw,swr,swr
blszk,blszkw,swr,swr
bly_kmn,blykmn,rus,lww
bllwk,blylwk,kij,kij
brhlw,brlw,brc,kij
brdznk,brdnk,kij,kij
brslw,brsylw,kij,kij
brzsc_kjwsk,brzsc,kjw,kij
brzyck,brzysk,pzn,pzn
brtjn,brtn,chl,chl
chbn,chbnj,kij,kij
chcny_str,chcny,snd,snd
chwstw,chwszczw,kij,kij
czczlnk,czklnk,brc,kij
czjk,czjkwk,kij,kij
czrnkw,chrnkw,pzn,pzn
czrny_strw,czrnstrw,pod,pod
dbrzn,dbrznfrydl,kls,kls
dczymn,dczymn,maz,maz
dmdwk,dymdw,wol,kij
drhbycz,drhbycz,rus,rus
drzkpl,drszkpl,wol,wol
dzwngrd,dωwngrd,pod,pod
frmpl,frnnpl,lbl,lbl
ftw,fjw,chl,chl
grdk_jgllnsk,grdkndnstr,rus,pod
grj,gry,lbl,lbl
grn_grp,grnwc,pmr,kij
hlwcz,hlwczw,wol,wol
hmn,mn,brc,kij
hjsyn,hjsn,brc,kij
hrszk,hrszkw,kij,kij
hrynk,hrznk,wol,hlc
jblnk_kscln,jblnk,pdl,maz
jblnw,jblnn,rus,maz
jrg,jrh,pod,pod
klncz,klczyn,pmr,wol
kmn_kszyrsk,kmnkrzck,wol,wol
kmnk_wlk,kmnk,rus,hlc
kmrgrd,kmjgrd,brc,kij
knczg,klcznklwck,rus,rus
knstntynw_nwy,nwyknstntynw,pod,pod
ksw_lck,kswlck,pdl,pdl
lbycz_krlwsk,lbcz,blz,blz
lhny,lhyny,kij,kij
lksnc_nwy,lks,wol,wol
lsnk,lysnk,kij,kij
mdzyrzc_krck,mdzyrzczkrck,wol,wol
mdzyrzc,mdzyrzczpdlsk,pdl,pdl
mgrw,mgrw,blz,blz
mhylw,mhylwpdlsk,pod,pod
mkw_mzwck,mnskmzwck,maz,maz
mrwn_gsln,gsln,pzn,pzn
msty_wlk,mstykrlwk,blz,blz
mszny,mszn,kij,kij
nrynsk,nrdzynsk,kij,kij
nw_mst,nwmstnplc,raw,raw
nwrj,nwry,rus,lww
ppw_kscln,ppwnbg,maz,maz
prbzn,pbznny,pod,pod
prskrw,plskrw,pod,pod
prszcz,prszwc,inw,krk
przsnysz,przsnysz,maz,maz
ptk_zlty,ptk,rus,rus
ptrkw_kjwsk,ptrkw,kjw,kjw
rchmnw,rchw,wol,lbl
rdmysl_wlk,rdymn,snd,rus
rdzlw,rdzk,maz,inw
rdzwllw,rdzwllw,wol,wol
rjgrdk,rjgrd,brc,pdl
rl,rly,pdl,pdl
rtk,rtk,maz,maz
rw_rsk,rwrsk,blz,blz
sml,smyl,kij,kij
snw_str,strsnw,pod,pod
spln,spln,inw,inw
srm,szrm,pzn,pzn
str_szkty,str,pmr,snd
strknstntynw,strknstntynw,wol,wol
strzmlcz,strmlch,blz,blz
szczczyn,szczcn,maz,maz
szlchtyngw,szlchtyczkw,pzn,pzn
szmrz,szmr,kij,kij
szyc_nw,szyc_str,pod,pod
tflpl,tflpl,wol,wol
tplk,tplc,brc,kij
trchtymrw,trktmrw,kij,kij
trk,trkwgrch,rus,rus
trnrd,trnwdy,rus,pod
trscnc,trstnc,brc,kij
wrb,wrb,wol,wol
wrzchwk,zwrzchwk,brc,kij
wrzszcz,wrzszcz,pmr,pmr
wsnwc_stry,wsnwczyk,wol,hlc
wyszgrdk,wysk,wol,lbl
wysznk_kscln,wysznk,pdl,pdl
zbc_kjwsk,zbc,kjw,kjw
zbrz,zbrzyszcz,wol,pod
zbrzyz,zbrzyszcz,pod,pod
zhwc,zhwc,wol,wol
zlyn,zlyn,rus,rus
zlzc,zlzc,rus,rus
zrby_kscln,zrbykscln,maz,maz
zrzcz,zrzcz,pmr,pmr
zwngrdk,zwngrdk,kij,kij
jt_cname,df_cname,jt_viv,df_viv
bck,bczk,pdl,pdl
bgrj,bgr,snd,snd
bkczwc,bkszwc,rus,hlc
bl_rwsk,bl,raw,raw
blcz_zlt,blcz,pod,pod
blgrd,blgrdk,rus,wol
blslwc,blslw,swr,swr
blszk,blszkw,swr,swr
bly_kmn,blykmn,rus,lww
bllwk,blylwk,kij,kij
brhlw,brlw,brc,kij
brdznk,brdnk,kij,kij
brslw,brsylw,kij,kij
brzsc_kjwsk,brzsc,kjw,kij
brzyck,brzysk,pzn,pzn
brtjn,brtn,chl,chl
chbn,chbnj,kij,kij
chcny_str,chcny,snd,snd
chwstw,chwszczw,kij,kij
czczlnk,czklnk,brc,kij
czjk,czjkwk,kij,kij
czrnkw,chrnkw,pzn,pzn
czrny_strw,czrnstrw,pod,pod
dbrzn,dbrznfrydl,kls,kls
dmdwk,dymdw,wol,kij
drhbycz,drhbycz,rus,rus
drzkpl,drszkpl,wol,wol
dzwngrd,dωwngrd,pod,pod
frmpl,frnnpl,lbl,lbl
ftw,fjw,chl,chl
grdk_jgllnsk,grdkndnstr,rus,pod
grj,gry,lbl,lbl
grn_grp,grnwc,pmr,kij
hlwcz,hlwczw,wol,wol
hmn,mn,brc,kij
hjsyn,hjsn,brc,kij
hrszk,hrszkw,kij,kij
hrynk,hrznk,wol,hlc
jblnk_kscln,jblnk,pdl,maz
jblnw,jblnn,rus,maz
jrg,jrh,pod,pod
klncz,klczyn,pmr,wol
kmn_kszyrsk,kmnkrzck,wol,wol
kmnk_wlk,kmnk,rus,hlc
kmrgrd,kmjgrd,brc,kij
knczg,klcznklwck,rus,rus
knstntynw_nwy,nwyknstntynw,pod,pod
ksw_lck,kswlck,pdl,pdl
lbycz_krlwsk,lbcz,blz,blz
lhny,lhyny,kij,kij
lksnc_nwy,lks,wol,wol
lsnk,lysnk,kij,kij
mdzyrzc_krck,mdzyrzczkrck,wol,wol
mdzyrzc,mdzyrzczpdlsk,pdl,pdl
mgrw,mgrw,blz,blz
mhylw,mhylwpdlsk,pod,pod
mkw_mzwck,mnskmzwck,maz,maz
mrwn_gsln,gsln,pzn,pzn
msty_wlk,mstykrlwk,blz,blz
mszny,mszn,kij,kij
nrynsk,nrdzynsk,kij,kij
nw_mst,nwmstnplc,raw,raw
nwrj,nwry,rus,lww
nwy_scz,nwyscz,krk,krk
ppw_kscln,ppwnbg,maz,maz
prbzn,pbznny,pod,pod
prskrw,plskrw,pod,pod
prszcz,prszwc,inw,krk
przsnysz,przsnysz,maz,maz
ptk_zlty,ptk,rus,rus
ptrkw_kjwsk,ptrkw,kjw,kjw
ptycz,ptycz,wol,wol
rchmnw,rchw,wol,lbl
rdmysl_wlk,rdymn,snd,rus
rdzlw,rdzk,maz,inw
rdzwllw,rdzwllw,wol,wol
rjgrdk,rjgrd,brc,pdl
rl,rly,pdl,pdl
rtk,rtk,maz,maz
rw_rsk,rwrsk,blz,blz
sml,smyl,kij,kij
snw_str,strsnw,pod,pod
spln,spln,inw,inw
srm,szrm,pzn,pzn
str_szkty,str,pmr,snd
strknstntynw,strknstntynw,wol,wol
strzmlcz,strmlch,blz,blz
szczczyn,szczcn,maz,maz
szlchtyngw,szlchtyczkw,pzn,pzn
szmrz,szmr,kij,kij
szyc_nw,szyc_str,pod,pod
tflpl,tflpl,wol,wol
tplk,tplc,brc,kij
trchtymrw,trktmrw,kij,kij
trk,trkwgrch,rus,rus
trnrd,trnwdy,rus,pod
trscnc,trstnc,brc,kij
ttyn,tyn,rus,hlc
wlk_czy,wlkczy,blz,rus
wrb,wrb,wol,wol
wrzchwk,zwrzchwk,brc,kij
wrzszcz,wrzszcz,pmr,pmr
wsnwc_stry,wsnwczyk,wol,hlc
wysk_mzwck,wyskmzwck,pdl,pdl
wysznk_kscln,wysznk,pdl,pdl
zbc_kjwsk,zbc,kjw,kjw
zbrz,zbrzyszcz,wol,pod
zbrzyz,zbrzyszcz,pod,pod
zhwc,zhwc,wol,wol
zlyn,zlyn,rus,rus
zlzc,zlzc,rus,rus
zrby_kscln,zrbykscln,maz,maz
zrzcz,zrzcz,pmr,pmr
zwngrdk,zwngrdk,kij,kij
strw_mzwck,strwmzwck,maz,maz
stry_smbr,strysmbr,rus,rus
wlk_brzznsk,wlkbrzznsk,maz,maz
jt_cname,df_cname,jt_viv,df_viv
bchln,bchtyn,pmr,pod
bkwc,bkczwc,pmr,rus
blszw,blzw,pmr,rus
chljw,chlw,blz,blz
chwrzcznk,chwszczw,pmr,kij
dczymn,dczm,maz,maz
drhbycz,drhbcz,rus,rus
grdzsk_dln,grdsk_dln,rus,rus
grdzsk_mzwck,grdzsk_mzwck,raw,raw
hmn,mn,brc,kij
jmpl,jml,wol,wol
klnwk,klnk,pmr,kij
klnwszczyzn,klnwszcz,lbl,lbl
kls,kls,pod,pod
krpc,krp,wol,wol
krslw,krsylw,wol,wol
krzmnc,krzmn,wol,wol
mdzkw,mdzkw,brc,brc
mgrw,mgrw,blz,blz
mlchn,mlch,pmr,pmr
mrmpl,mrympl,rus,hlc
mrslwc,mrslw,pzn,pzn
ptk_zlty,ptk,rus,rus
ptrkw_kjwsk,ptrkw,kjw,kjw
ptycz,ptycz,wol,wol
rdzwllw,rdzwl,wol,wol
rtk,rtk,maz,maz
rydzyn,rydzn,pzn,pzn
rzyszczw,rzszczw,kij,kij
sndmrz,sndm,snd,snd
snk,snk,rus,rus
sntkw,sntk,pod,pod
spln,spln,inw,inw
srnw,srny,pzn,wol
stbychw,stbchw,wol,wol
stdznc,stdnc,pod,pod
str_grnw,str_gr,kls,kls
str_szkty,str_sz,pmr,pmr
strknstntynw,strknst,wol,wol
stry_smbr,strysmbr,rus,rus
swrzdz,swrz,pzn,pzn
tflpl,tfl,wol,wol
ttyn,tyn,rus,hlc
wjtl,wjt,pmr,pmr
wlczysk,wlczsk,wol,wol
wlk_brzznsk,wlkbrzznsk,maz,maz
wlk_czy,wlkczy,blz,blz
wlszcz,wlsz,rus,rus
wrb,wrb,wol,wol
wrzszcz,wrzsz,pmr,pmr
wysk_mzwck,wyskmzwck,pdl,pdl
wysznk_kscln,wysznk,pdl,pdl
zbc_kjwsk,zbc,kjw,kjw
zhwc,zhw,wol,wol
zlyn,zln,rus,rus
zlzc,zlz,rus,rus
zrzcz,zrcz,pmr,pmr
zwngrdk,zwngrd,kij,kij
jt_cname,df_cname,jt_viv,df_viv
jblnk_kscln,jblnk,pdl,maz
kmnk_wlk,kmnk,rus,hlc
krp,krpc,wol,wol
krsnystw,krsnstw,rus,wol
krt,krty,brc,kij
mdzyrzc_krck,mdzyrzczkrck,wol,wol
nwy_krczyn,krczyn,snd,snd
ppw_kscln,ppwnbg,maz,maz
ptk_zlty,ptk,rus,rus
ptrkw_kjwsk,ptrkw,kjw,kjw
przw,przwl,kij,blz
snw_str,strsnw,pod,pod
szyc_nw,szyc_str,pod,pod
trk,trkwgrch,rus,rus
wlszcz,wlw,rus,rus
wsnwc_stry,wsnwczyk,wol,hlc
wysznk_kscln,wysznk,pdl,pdl
zbc_kjwsk,zbc,kjw,kjw
zwngrdk,zwngrd,kij,kij
blt,jzfgrd,brc,kij
mdzyrzc_krck,mdzyrzczkrck,wol,wol
jblnk_kscln,jblnk,pdl,maz
jblnk_kscln,ksclnnr,pdl,maz
mdzyrzc,mdzyrzczpdlsk,pdl,pdl
trk,trkwgrch,rus,rus
nwy_krczyn,korczyn,snd,snd
ppw_kscln,ppwnbg,maz,maz